Kode;Kategori;Deskripsi;Satuan;Harga Beli;Diskon Beli;Total Beli;Harga Jual;Diskon Jual;Total Jual;;
RJ1493;AJI;Makita Karbon Brass;1pcs;2.500;0 %;2.500;10.000;0 %;10.000;;
RJ1539;AJI;Mata Bor 4(C MART)HSS;Pcs;14.000;0 %;14.000;14.000;0 %;14.000;;
RJ1536;AJI;Mata Bor Beton Benz 10mm;Pcs;10.000;0 %;10.000;12.000;0 %;12.000;;
RJ1535;Aji;Mata Bor Beton Benz 6mm;Pcs;8.000;0 %;8.000;10.000;0 %;10.000;;
RJ1537;AJI;Mata Bor Hss 3(C MART);Pcs;10.000;0 %;10.000;10.000;0 %;10.000;;
RJ1538;AJI;Mata Bor Hss 3.5 (C MART) ;PCS;12.000;0 %;12.000;12.000;0 %;12.000;;
RJ1540;AJI;Mata Bor Hss 5(C MART) ;PCS;17.000;0 %;17.000;17.000;0 %;17.000;;
RJ1541;AJI;Mata Bor Hss 6(C MART);PCS;23.000;0 %;23.000;23.000;0 %;23.000;;
RJ1216;AJI;mata grenda Diamond Wheel Gt Turbo;PCS;62.500;0 %;62.500;75.000;0 %;75.000;;
RJ1808;AJI;Membrane NO DROP 10cmx10m ;1pcs;15.500;0 %;15.500;17.500;0 %;17.500;;
RJ1438;AJI;Mesin Bor 10mm RYU Tekiro;PCS;275.000;0 %;275.000;295.000;0 %;295.000;;
RJ1440;AJI;Mesin Bor Impact RYU 13mm;PCS;400.000;0 %;400.000;400.000;0 %;400.000;;
RJ1441;AJI;Mesin Bor Listrik 10mm Wipro;PCS;325.000;0 %;325.000;350.000;0 %;350.000;;
RJ1442;AJI;Mesin Bor Listrik Impact 13mm Wipro;PCS;475.000;0 %;475.000;475.000;0 %;475.000;;
RJ1439;AJI;Mesin Grenda RYU TEKIRO;PCS;285.000;0 %;285.000;285.000;0 %;285.000;;
RJ1722`;AJI;METERAN AIR PVC ANMB ;PCS;85.000;0 %;85.000;85.000;0 %;85.000;;
RJ1445;AJI;Meteran Rool 7,5/axell 160000;PCS;170.000;0 %;170.000;15.000;0 %;15.000;;
RJ1281;AJI;meteran rool Karet IGM 5m/erdos/MDS;LUSIN;100.000;0 %;100.000;10.000;0 %;10.000;;
RJ1203;AJI;Might Mata Grenda;PCS;3.500;0 %;3.500;5.000;0 %;5.000;;
RJ1412;AJI;Obeng BB Gagang Karet MDN 4;1pcs;7.500;0 %;7.500;10.000;0 %;10.000;;
RJ1777;AJI;Obeng Bb MDN;LUSIN;65.000;0 %;65.000;70.000;0 %;70.000;;
RJ2048;AJI;Obeng Besar Bison - + ;PCS;35.000;0 %;35.000;35.000;0 %;35.000;;
RJ1817;AJI;"Obeng Bolak Balik Vanadium 4""";LUSIN;52.500;0 %;52.500;10.000;0 %;10.000;;
RJ1819;AJI;Obeng Tembus Bison - Merah;LUSIN;160.000;0 %;160.000;15.000;0 %;15.000;;
